구분별(1),구분별(2),2022,2022,2022,2022,2022,2022,2022,2022
구분별(1),구분별(2),반려동물 유무,반려동물 유무,반려동물 취득경로,반려동물 취득경로,반려동물 취득경로,반려동물 취득경로,반려동물 취득경로,반려동물 취득경로
구분별(1),구분별(2),있다,없다,동물판매업소(애견판매업소 동물병원 등),친지 친구 등 아는 사람을 통해 유상 입양,친지 친구 등 아는 사람을 통해 무상 입양,인터넷을 통해 구입,유기동물 입양,원래 기르던 동물이 낳은 새끼
서울시,소계,22.2,77.8,22.9,19.8,35.5,2.2,12.9,6.8
연령별,20대 이하,20,80,12.5,12.4,46.8,1.3,17.2,9.9
연령별,30대,20,80,33.6,15.3,29.8,2.4,18.1,0.7
연령별,40대,24.2,75.8,24.7,23.2,36,3,11.3,1.8
연령별,50대,24.8,75.2,18.9,22.8,34.7,1.9,18.2,3.5
연령별,60세 이상,21.4,78.6,20,19,37.2,1.9,7.6,14.3
지역소분류,종로구,33.9,66.1,13.8,25,36.4,1.6,17.2,6.1
지역소분류,중구,14.7,85.3,28.3,17.7,40,2.5,2.6,8.9
지역소분류,용산구,17.1,82.9,18.7,13.2,48.4,2.4,14.9,2.4
지역소분류,성동구,19.1,80.9,33,11.3,36.1,2.5,15.2,1.9
지역소분류,광진구,21.4,78.6,12.5,32.6,33,5.8,14.4,1.8
지역소분류,동대문구,19.7,80.3,24.2,16,30.6,0.9,17.9,10.4
지역소분류,중랑구,30.1,69.9,32.8,10.5,47.9,3.6,3.5,1.7
지역소분류,성북구,20.2,79.8,24.3,19.3,38.2,2,14,2.1
지역소분류,강북구,21.1,78.9,17.1,16.3,24.5,3.1,5.8,33.3
지역소분류,도봉구,19.4,80.6,29,34.8,26.3,0.7,5.5,3.7
지역소분류,노원구,28.4,71.6,27.6,3.4,16.3,1.8,7.5,43.4
지역소분류,은평구,18.1,81.9,35.7,20.1,31,0.5,8.3,4.3
지역소분류,서대문구,20.2,79.8,16.8,14.6,52.6,2.9,11.7,1.4
지역소분류,마포구,23.6,76.4,24.7,20,40.5,3.3,8.9,2.5
지역소분류,양천구,15.2,84.8,19.4,60.1,13.4,3.1,3.9,0.1
지역소분류,강서구,17.1,82.9,31.9,25.3,20,2.1,14.9,5.8
지역소분류,구로구,17.3,82.7,18.5,17.6,49.8,1.4,9.6,3.1
지역소분류,금천구,13.5,86.5,17.4,25.1,41.6,-,12.4,3.5
지역소분류,영등포구,18.4,81.6,29.9,20.1,47.1,-,2.9,-
지역소분류,동작구,21.2,78.8,23.9,23,43.7,1.1,5.3,3
지역소분류,관악구,22.3,77.7,45,22.1,25.3,0.7,5.2,1.7
지역소분류,서초구,22.3,77.7,12.1,40.1,18.3,10.2,11.3,8.1
지역소분류,강남구,44.1,55.9,7.8,5.6,42.3,2.4,38.1,3.9
지역소분류,송파구,22.6,77.4,24.9,25.5,33,-,14.8,1.8
지역소분류,강동구,25.6,74.4,6.4,18.1,58.4,1.6,13.2,2.2
