GRID_ID,이름,설치기관주소,위도,경도
1,네발로오시개,서울 양천구 신월로 164 208호,37.5177576,126.8420198
2,제주네,서울 양천구 신월로 266 2층 201호,37.5219803,126.8507674
3,개를 위한 하루,서울 양천구 신정중앙로 88 덕남빌딩 6층,37.5264634,126.8613137
4,카페멍 목동점,서울 양천구 오목로 337-10 소망빌딩 5층,37.525195,126.8753456
5,털로덮인친구들 펫파크 목동점,서울 양천구 목동동로 309 9층,37.52924,126.8759808
6,멍다움,서울 양천구 목동중앙본로 57 지하1층,37.5411203,126.86877
7,도그하우스,서울 양천구 목동중앙서로 47 성보주상복합아파트 1층,37.5333001,126.869225
8,도그랭 강아지놀이방,서울 양천구 중앙로51길 8-9 1층 강아지놀이방,37.5257169,126.849373
9,멍캉스,서울 양천구 남부순환로64길 13 2층,37.5276768,126.832908
10,몽몽바블펫,서울 양천구 중앙로36길 24 1층 몽몽바블펫,37.5195271,126.856557
11,캣츠아일랜드,서울 양천구 중앙로 222 3층,37.5164255,126.854821
12,냥플레이스,서울 양천구 목동중앙남로3길 3 2층,37.5361813,126.867409
13,예뻐지개,서울 양천구 중앙로51길 72,37.5236987,126.842533
14,이든반려견 문화센터,서울 양천구 은행정로 94 2층,37.5281253,126.858781
15,별개,서울 양천구 지양로 85 202호,37.5226577,126.832535
16,아이멍쥬,서울 양천구 남부순환로64길 17 1층,37.5273254,126.832898
17,카페멍,서울 양천구 오목로 337-10 소망빌딩 5층,37.525243,126.875404
18,키움 반려견 아카데미,서울 양천구 신정중앙로 67 3층,37.5270809,126.859382
19,강아지분양 타임도그 애견샵 목동점,서울 양천구 오목로 189 2층 강아지분양 타임도그 애견샵 목동점,37.525503,126.858491
20,네발로오시개,서울 양천구 신월로 164 208호,37.5176883,126.841991
21,리본반려견 유치원,서울 양천구 은행정로 94 5층,37.5281253,126.858781
22,로우포우신월(rawpaw),서울 양천구 남부순환로58길 29 102호,37.5294313,126.831253
23,리브독(LeavDog),서울 양천구 남부순환로 431 3층,37.5294699,126.833006
